frame_id,date,model,ai_count,in_training
CAMHDA301-20230328T181500,2023-03-28,v2,12,False
CAMHDA301-20230328T211500,2023-03-28,v2,3,False
CAMHDA301-20230404T001500,2023-04-04,v2,13,False
CAMHDA301-20230404T031500,2023-04-04,v2,9,False
CAMHDA301-20230404T061500,2023-04-04,v2,12,False
CAMHDA301-20230404T091500,2023-04-04,v2,11,False
CAMHDA301-20230404T121500,2023-04-04,v2,21,False
CAMHDA301-20230404T181500,2023-04-04,v2,6,False
CAMHDA301-20230404T211500,2023-04-04,v2,15,False
CAMHDA301-20230411T001500,2023-04-11,v2,11,False
CAMHDA301-20230411T031500,2023-04-11,v2,16,False
CAMHDA301-20230411T091500,2023-04-11,v2,4,False
CAMHDA301-20230411T121500,2023-04-11,v2,19,False
CAMHDA301-20230411T151500,2023-04-11,v2,16,False
CAMHDA301-20230411T181500,2023-04-11,v2,18,False
CAMHDA301-20230411T211500,2023-04-11,v2,15,False
CAMHDA301-20230418T001500,2023-04-18,v2,19,False
CAMHDA301-20230418T031500,2023-04-18,v2,11,False
CAMHDA301-20230418T061500,2023-04-18,v2,14,False
CAMHDA301-20230418T091500,2023-04-18,v2,8,False
CAMHDA301-20230418T121500,2023-04-18,v2,20,False
CAMHDA301-20230418T151500,2023-04-18,v2,13,False
CAMHDA301-20230418T181500,2023-04-18,v2,6,False
CAMHDA301-20230418T211500,2023-04-18,v2,12,False
CAMHDA301-20230425T001500,2023-04-25,v2,9,False
CAMHDA301-20230425T031500,2023-04-25,v2,14,False
CAMHDA301-20230425T091500,2023-04-25,v2,3,False
CAMHDA301-20230425T121500,2023-04-25,v2,8,False
CAMHDA301-20230425T181500,2023-04-25,v2,10,False
CAMHDA301-20230425T211500,2023-04-25,v2,15,False
CAMHDA301-20230502T061500,2023-05-02,v2,12,False
CAMHDA301-20230509T001500,2023-05-09,v2,11,False
CAMHDA301-20230509T031500,2023-05-09,v2,9,False
CAMHDA301-20230509T061500,2023-05-09,v2,9,False
CAMHDA301-20230509T121500,2023-05-09,v2,9,False
CAMHDA301-20230509T151500,2023-05-09,v2,11,False
CAMHDA301-20230509T181500,2023-05-09,v2,14,False
CAMHDA301-20230516T001500,2023-05-16,v2,15,False
CAMHDA301-20230516T061500,2023-05-16,v2,10,False
CAMHDA301-20230516T091500,2023-05-16,v2,7,False
CAMHDA301-20230516T121500,2023-05-16,v2,13,False
CAMHDA301-20230516T181500,2023-05-16,v2,6,False
CAMHDA301-20230516T211500,2023-05-16,v2,11,False
CAMHDA301-20230523T001500,2023-05-23,v2,8,False
CAMHDA301-20230523T031500,2023-05-23,v2,7,False
CAMHDA301-20230523T091500,2023-05-23,v2,6,False
CAMHDA301-20230523T121500,2023-05-23,v2,2,False
CAMHDA301-20230523T151500,2023-05-23,v2,8,False
CAMHDA301-20230523T181500,2023-05-23,v2,9,False
CAMHDA301-20230523T211500,2023-05-23,v2,13,False
CAMHDA301-20230530T001500,2023-05-30,v2,16,False
CAMHDA301-20230530T031500,2023-05-30,v2,7,False
CAMHDA301-20230530T091500,2023-05-30,v2,9,False
CAMHDA301-20230530T121500,2023-05-30,v2,14,False
CAMHDA301-20230530T151500,2023-05-30,v2,5,False
CAMHDA301-20230530T181500,2023-05-30,v2,2,False
CAMHDA301-20230606T061500,2023-06-06,v2,3,False
CAMHDA301-20230606T091500,2023-06-06,v2,6,False
CAMHDA301-20230606T121500,2023-06-06,v2,2,False
